"","X071912QCCKO1","X071912QCCKO2","X071912QCCKO3","X071912QCCTC1","X071912QCCTC2","X071912QCCTC3"
"Label","KO","KO","KO","WT","WT","WT"
"uracil","1.1585129","1.2178442","1.2488535","0.7617249","0.8108476","0.8032084"
"2-oxo-4-methylthiobutanoate"," 0.30471214"," 0.22266159"," 0.35665913","-0.23145278","-0.11998758","-0.04660468"
"purine"," 0.37631482"," 0.33657876"," 0.40885749","-0.06495709","-0.04397329","-0.07617823"
"Phenyllactic acid","-0.16401108","-0.20378643","-0.04578734","-0.59476912","-0.55780587","-0.56908585"
"Atrolactic acid","-1.078649","-1.055595","-0.854666","-1.429517","-1.532633","-1.357302"
"Kynurenic acid"," 0.1441150"," 0.1288796"," 0.1885626","-0.3397742","-0.2918926","-0.2973156"
"Hydroxyisocaproic acid","0.9688734","0.8672121","0.8754601","0.3667118","0.5144200","0.3277897"
"indole"," 0.04284020"," 0.08517962"," 0.08297802","-0.41491165","-0.49308528","-0.40894274"
"tryptophan","1.1426742","1.0484558","1.2608864","0.5734160","0.6054070","0.5937748"
"trans, trans-farnesyl diphosphate","-1.383153","-1.125711","-1.328682","-1.797703","-2.025891","-1.539182"
"Ascorbic acid","1.059773","1.008521","1.059402","0.335414","0.350870","0.399858"
"GTP-nega"," 0.10281859"," 0.04518585","-0.11394841","-1.49569321","-0.23529041","-1.62138904"
